row,id,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
20.000,3jDdpx9PMlfMBS5tOBHFm9,Return Of The Mack,0.00631,0.715,213093,0.833,0,2.000,0.164,-5.379,1.000,0.108,95.487,,https://api.spotify.com/v1/tracks/3jDdpx9PMlfMBS5tOBHFm9,0.612
21.000,0OMNQyneWmmZtTQpULYJcl,It's Oh So Quiet,0.631,0.474,217733,0.136,0,3.000,0.0717,-14.114,1.000,0.0595,124.412,,https://api.spotify.com/v1/tracks/0OMNQyneWmmZtTQpULYJcl,0.2
22.000,0cU7itQsrmLK0nggvYc8jM,Crash into Me,0.218,0.529,316333,0.654,0.00233,4.000,0.102,-10.04,1.000,0.0367,101.258,,https://api.spotify.com/v1/tracks/0cU7itQsrmLK0nggvYc8jM,0.485
23.000,1A3iXoekVzV95cq89XiiuX,Would I Lie To You?,0.352,0.567,204587,0.602,0,11.000,0.15,-8.619,0.000,0.0786,202.351,,https://api.spotify.com/v1/tracks/1A3iXoekVzV95cq89XiiuX,0.767
24.000,31bf9SEOppLU6lQ85d8om6,Ghetto Supastar (That is What You Are),0.0335,0.818,261133,0.653,5.46E-06,1.000,0.22,-8.396,1.000,0.204,99.931,,https://api.spotify.com/v1/tracks/31bf9SEOppLU6lQ85d8om6,0.533
25.000,1KGi9sZVMeszgZOWivFpxs,No Scrubs,0.0251,0.743,214400,0.675,0.000717,8.000,0.0685,-4.267,0.000,0.0953,92.909,,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,0.59
26.000,3u9fHuAtjMY1RW2mZfO4Cf,Gangsta's Paradise (feat. L.V.),0.0372,0.641,241933,0.63,0,8.000,0.4,-6.393,1.000,0.0521,79.955,,https://api.spotify.com/v1/tracks/3u9fHuAtjMY1RW2mZfO4Cf,0.415
27.000,6L89mwZXSOwYl76YXfX13s,Basket Case,0.00293,0.442,181533,0.943,8.71E-06,3.000,0.091,-3.205,1.000,0.0602,85.064,,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,0.781
28.000,1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,2.55E-05,0.502,301920,0.912,0.000173,1.000,0.106,-4.556,1.000,0.0564,116.761,,https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf,0.72
29.000,74EV0g12ihUoOUXMprFpZB,Losing My Religion,0.0767,0.672,267733,0.841,0,9.000,0.135,-5.992,0.000,0.0285,125.437,,https://api.spotify.com/v1/tracks/74EV0g12ihUoOUXMprFpZB,0.82
30.000,6WK9dVrRABMkUXFLNlgWFh,Enjoy the Silence,0.2,0.663,255133,0.838,0.000177,0.000,0.0782,-5.744,0.000,0.0286,112.788,,https://api.spotify.com/v1/tracks/6WK9dVrRABMkUXFLNlgWFh,0.752
31.000,7f0jXNMu2xjQUtmKMuWhGA,What's Up?,0.156,0.566,295493,0.57,0,11.000,0.118,-9.875,0.000,0.0285,134.537,,https://api.spotify.com/v1/tracks/7f0jXNMu2xjQUtmKMuWhGA,0.491
32.000,4ePP9So5xRzspjLFVVbj90,Two Princes,0.00162,0.543,256733,0.912,2.10E-06,7.000,0.0565,-10.71,1.000,0.0601,103.731,,https://api.spotify.com/v1/tracks/4ePP9So5xRzspjLFVVbj90,0.836
33.000,4FCb4CUbFCMNRkI6lYc1zI,Hero,0.735,0.501,257733,0.378,0,4.000,0.119,-9.37,1.000,0.029,119.987,,https://api.spotify.com/v1/tracks/4FCb4CUbFCMNRkI6lYc1zI,0.178
34.000,0z5E34e7ZT3XKMYQNXh6tH,Kiss From A Rose,0.63,0.587,289227,0.493,0,8.000,0.224,-8.368,1.000,0.0296,131.727,,https://api.spotify.com/v1/tracks/0z5E34e7ZT3XKMYQNXh6tH,0.21
35.000,69hwHdKl4Y1HusAutt3W6q,Truly Madly Deeply,0.403,0.555,277267,0.698,0,0.000,0.0851,-8.874,1.000,0.0287,168.12,,https://api.spotify.com/v1/tracks/69hwHdKl4Y1HusAutt3W6q,0.816
36.000,0dCr3qIupWh36ilLjRHi4P,Virtual Insanity - Remastered,0.13,0.651,228333,0.946,0,6.000,0.148,-4.717,1.000,0.101,91.911,,https://api.spotify.com/v1/tracks/0dCr3qIupWh36ilLjRHi4P,0.508
37.000,0Pu71wxadDlB8fJXfjIjeJ,Shoop,0.0915,0.939,248573,0.675,0,0.000,0.0565,-7.232,1.000,0.211,96.918,,https://api.spotify.com/v1/tracks/0Pu71wxadDlB8fJXfjIjeJ,0.795
38.000,1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,0.0561,0.853,227600,0.606,0,0.000,0.313,-4.596,1.000,0.0713,94.759,,https://api.spotify.com/v1/tracks/1lzr43nnXAijIGYnCT8M8H,0.654
39.000,6QuBlKmaadzwQn21IUTPPX,The Rockafeller Skank - Short Edit,0.00476,0.572,241467,0.987,0.00679,7.000,0.348,-6.259,1.000,0.281,152.636,,https://api.spotify.com/v1/tracks/6QuBlKmaadzwQn21IUTPPX,0.126
40.000,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,0.00165,0.619,211933,0.67,0.0109,11.000,0.331,-10.319,0.000,0.0353,129.267,,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,0.777
41.000,3cfOd4CMv2snFaKAnMdnvK,All Star,0.0319,0.731,200373,0.861,0,11.000,0.0829,-5.881,1.000,0.0323,104.034,,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,0.78
42.000,6JGQ98So2ik5GVI9ydQ2Yh,Don't Speak,0.274,0.499,262747,0.761,9.38E-06,5.000,0.137,-5.436,0.000,0.0367,76.118,,https://api.spotify.com/v1/tracks/6JGQ98So2ik5GVI9ydQ2Yh,0.582
43.000,7v02Sn9vYRQ6pc1lqhnkWY,Save Tonight,0.000154,0.548,236040,0.742,3.97E-05,0.000,0.109,-6.536,1.000,0.0337,119.496,,https://api.spotify.com/v1/tracks/7v02Sn9vYRQ6pc1lqhnkWY,0.583
44.000,1MAqR81Tz28IIqMJ2KUDAO,Killing Me Softly With His Song,0.0279,0.765,298773,0.29,1.02E-06,4.000,0.571,-17.117,0.000,0.139,92.409,,https://api.spotify.com/v1/tracks/1MAqR81Tz28IIqMJ2KUDAO,0.506
45.000,5QRAfvKPyQpwt897Jc0glg,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,0.259,0.822,283748,0.969,0.000162,7.000,0.39,-11.471,0.000,0.0582,128.007,,https://api.spotify.com/v1/tracks/5QRAfvKPyQpwt897Jc0glg,0.765
46.000,65OXGbKBQ8gUyJvUd0jNpf,"Boom, Boom, Boom, Boom!!",0.0108,0.8,201840,0.894,0.437,6.000,0.0285,-7.346,0.000,0.04,138.48,,https://api.spotify.com/v1/tracks/65OXGbKBQ8gUyJvUd0jNpf,0.967
47.000,11mwFrKvLXCbcVGNxffGyP,Genie in a Bottle,0.21,0.627,217573,0.8,0.000123,1.000,0.137,-6.945,1.000,0.162,175.815,,https://api.spotify.com/v1/tracks/11mwFrKvLXCbcVGNxffGyP,0.912
48.000,3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,0.173,0.848,251573,0.666,0.000699,0.000,0.129,-6.547,1.000,0.274,96.662,,https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I,0.744
49.000,1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,0.00456,0.867,257360,0.517,0.000339,11.000,0.0864,-13.222,0.000,0.0875,133.148,,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu,0.866
50.000,5cFcWAWIcnV38t4YCWQiZZ,Summertime - Single Edit,0.00328,0.614,237093,0.752,0,7.000,0.379,-6.271,1.000,0.0652,95.018,,https://api.spotify.com/v1/tracks/5cFcWAWIcnV38t4YCWQiZZ,0.444
51.000,3LklW07tvdx2AHsgfi1Mng,I Wish,0.00137,0.669,249293,0.809,0,7.000,0.38,-7.146,1.000,0.147,97.885,,https://api.spotify.com/v1/tracks/3LklW07tvdx2AHsgfi1Mng,0.572
52.000,6Tsu3OsuMz4KEGKbOYd6A0,Hypnotize,0.176,0.895,230000,0.694,0,9.000,0.292,-4.384,1.000,0.275,93.944,,https://api.spotify.com/v1/tracks/6Tsu3OsuMz4KEGKbOYd6A0,0.632
53.000,1lYaLFnhZBKTfBoPqdYXq5,My Love Is Your Love,0.0449,0.77,260120,0.471,3.95E-06,7.000,0.0669,-9.578,1.000,0.156,82.515,,https://api.spotify.com/v1/tracks/1lYaLFnhZBKTfBoPqdYXq5,0.474
54.000,1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way",0.0528,0.651,249520,0.747,0,1.000,0.207,-7.269,0.000,0.0699,147.518,,https://api.spotify.com/v1/tracks/1Rvl8qsKJurfFTyWLBI9ib,0.776
55.000,0UBPU7UNTCySKbgErBZBfq,The Sign,0.0111,0.814,188933,0.862,0.0289,7.000,0.026,-4.41,1.000,0.0442,97.008,,https://api.spotify.com/v1/tracks/0UBPU7UNTCySKbgErBZBfq,0.889
56.000,6J6RWKCPN5RFKHUKEUFjxS,Step by Step,0.0274,0.787,267293,0.63,6.69E-06,0.000,0.161,-12.295,1.000,0.0609,125.347,,https://api.spotify.com/v1/tracks/6J6RWKCPN5RFKHUKEUFjxS,0.882
57.000,6QYH8cjdC23Qt2HT4UtycH,Nothing Compares 2 U,0.0425,0.511,280040,0.574,2.33E-05,5.000,0.105,-7.016,1.000,0.0273,119.917,,https://api.spotify.com/v1/tracks/6QYH8cjdC23Qt2HT4UtycH,0.161
58.000,48UPSzbZjgc449aqz8bxox,Californication,0.0021,0.592,329733,0.767,0.00165,9.000,0.127,-2.788,0.000,0.027,96.483,,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,0.328
59.000,3ZFwuJwUpIl0GeXsvF1ELf,Nothing Else Matters,0.0505,0.558,388733,0.364,5.02E-06,4.000,0.0753,-11.258,0.000,0.0265,142.171,,https://api.spotify.com/v1/tracks/3ZFwuJwUpIl0GeXsvF1ELf,0.17
60.000,0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,0.00411,0.425,243160,0.954,0,1.000,0.0555,-3.756,0.000,0.0476,178.043,,https://api.spotify.com/v1/tracks/0Ph6L4l8dYUuXFmb71Ajnd,0.933
61.000,0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),0.0393,0.535,320267,0.505,0,2.000,0.0923,-8.926,0.000,0.245,99.935,,https://api.spotify.com/v1/tracks/0uEp9E98JB5awlA084uaIg,0.495
62.000,5yEPxDjbbzUzyauGtnmVEC,Bitter Sweet Symphony,0.0415,0.389,358427,0.889,0,9.000,0.463,-6.546,1.000,0.0442,171.121,,https://api.spotify.com/v1/tracks/5yEPxDjbbzUzyauGtnmVEC,0.524
63.000,4PgPnzbAgjCQ2eA6YAWcUw,MMMBop - Single Version,0.00456,0.692,238533,0.912,0.00273,9.000,0.0616,-7.733,1.000,0.0513,104.862,,https://api.spotify.com/v1/tracks/4PgPnzbAgjCQ2eA6YAWcUw,0.642
64.000,5iEDwEp82uLN3X6llJdqen,"Rhythm Is A Dancer - 7"" Edit",0.251,0.794,225867,0.756,0.000611,9.000,0.122,-11.331,0.000,0.0343,124.25,,https://api.spotify.com/v1/tracks/5iEDwEp82uLN3X6llJdqen,0.759
65.000,2ahnofp2LbBWDXcJbMaSTu,What Is Love,0.0222,0.683,270373,0.772,0.0149,7.000,0.203,-7.907,0.000,0.0311,123.871,,https://api.spotify.com/v1/tracks/2ahnofp2LbBWDXcJbMaSTu,0.737
66.000,3yUcJwYu7fXAfqMj9krY6l,Thank You,0.3,0.725,218360,0.583,0.000215,1.000,0.0665,-9.942,0.000,0.0424,79.984,,https://api.spotify.com/v1/tracks/3yUcJwYu7fXAfqMj9krY6l,0.765
67.000,1yTQ39my3MoNROlFw3RDNy,Say You'll Be There,0.0149,0.726,235973,0.679,1.49E-06,1.000,0.0837,-6.219,1.000,0.0473,107.02,,https://api.spotify.com/v1/tracks/1yTQ39my3MoNROlFw3RDNy,0.751
68.000,36bOT34EdRNrNhCWMwNJKu,Just A Girl,0.0799,0.641,208400,0.914,6.54E-05,2.000,0.132,-4.798,1.000,0.05,107.996,,https://api.spotify.com/v1/tracks/36bOT34EdRNrNhCWMwNJKu,0.723
69.000,3TW48DvQ7ChwY1Yy1tkMaP,Runaway Train,0.0132,0.613,265867,0.72,0,0.000,0.104,-7.957,1.000,0.0425,117.341,,https://api.spotify.com/v1/tracks/3TW48DvQ7ChwY1Yy1tkMaP,0.561
70.000,6uQKuonTU8VKBz5SHZuQXD,This Is How We Do It,0.0159,0.799,238800,0.63,0,0.000,0.453,-9.279,1.000,0.0748,103.647,,https://api.spotify.com/v1/tracks/6uQKuonTU8VKBz5SHZuQXD,0.772
71.000,11d9oUiwHuYt216EFA2tiz,Ice Ice Baby,0.027,0.98,271467,0.535,1.68E-06,2.000,0.104,-16.035,1.000,0.058,115.744,,https://api.spotify.com/v1/tracks/11d9oUiwHuYt216EFA2tiz,0.675
72.000,3d9DChrdc6BOeFsbrZ3Is0,Under The Bridge,0.0576,0.559,264307,0.345,0.000105,4.000,0.141,-13.496,1.000,0.0459,84.581,,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,0.458
73.000,4vfzROmNsxedKICcHod5Rh,Here Comes the Hotstepper,0.0328,0.852,244813,0.537,0.000248,7.000,0.229,-7.424,1.000,0.114,100.369,,https://api.spotify.com/v1/tracks/4vfzROmNsxedKICcHod5Rh,0.483
74.000,4BggEwLhGfrbrl7JBhC8EC,Butterfly,0.00132,0.736,216733,0.811,0.000142,9.000,0.107,-4.17,0.000,0.081,103.502,,https://api.spotify.com/v1/tracks/4BggEwLhGfrbrl7JBhC8EC,0.609
75.000,2UVLuddklEVak5PXgC7baA,Groove Is In The Heart,0.0153,0.694,231787,0.881,0.0196,1.000,0.0851,-4.053,0.000,0.0701,121.554,,https://api.spotify.com/v1/tracks/2UVLuddklEVak5PXgC7baA,0.924
76.000,2WElktskrNJEwgpp5Vouxk,I'm Too Sexy,4.91E-05,0.683,170467,0.739,0.0122,11.000,0.293,-12.831,0.000,0.0495,122.113,,https://api.spotify.com/v1/tracks/2WElktskrNJEwgpp5Vouxk,0.836
77.000,1GrikfH0jDejDvrxo84n4P,Together Again,0.0788,0.873,301200,0.591,0.0071,7.000,0.104,-8.942,1.000,0.102,123.091,,https://api.spotify.com/v1/tracks/1GrikfH0jDejDvrxo84n4P,0.496
78.000,4EnkwZd0UJAuHpNMMemQaA,Closing Time,0.0204,0.481,273160,0.865,1.24E-06,7.000,0.17,-5.498,1.000,0.0283,92.086,,https://api.spotify.com/v1/tracks/4EnkwZd0UJAuHpNMMemQaA,0.241
79.000,0pMUR7Uvp6vxlbG0qBFvgM,Better Off Alone,0.00437,0.667,217573,0.818,0.761,8.000,0.288,-9.149,0.000,0.0594,136.957,,https://api.spotify.com/v1/tracks/0pMUR7Uvp6vxlbG0qBFvgM,0.761
80.000,1eRqy8jW4ZLMJR6dl3xsgI,Lovefool - Radio Edit,0.0443,0.644,193893,0.599,0,9.000,0.286,-7.936,1.000,0.029,111.829,,https://api.spotify.com/v1/tracks/1eRqy8jW4ZLMJR6dl3xsgI,0.941
81.000,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remastered Version,0.00178,0.674,121160,0.789,0.0071,8.000,0.0754,-6.903,1.000,0.0676,129.804,,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,0.918
82.000,2goLsvvODILDzeeiT4dAoR,Believe,0.0082,0.652,239027,0.917,0,6.000,0.0509,-6.72,1.000,0.0548,132.975,,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR,0.459
83.000,680kMGV6szhTiZbHRr3vLi,Close To You,0.0105,0.762,330080,0.646,2.14E-06,10.000,0.0406,-8.69,0.000,0.092,95.992,,https://api.spotify.com/v1/tracks/680kMGV6szhTiZbHRr3vLi,0.819
84.000,0gEyKnHvgkrkBM6fbeHdwK,Linger,0.0783,0.439,274707,0.434,4.87E-05,7.000,0.14,-14.918,1.000,0.0265,94.845,,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,0.204
85.000,4oGTdOClZUxcM2H3UmXlwL,Ironic,0.25,0.295,225933,0.593,0,11.000,0.236,-7.572,1.000,0.0555,85.482,,https://api.spotify.com/v1/tracks/4oGTdOClZUxcM2H3UmXlwL,0.37
86.000,0MKGH8UMfCnq5w7nG06oM5,Come As You Are,0.00016,0.5,218920,0.824,0.00161,4.000,0.0916,-5.846,0.000,0.0388,120.125,,https://api.spotify.com/v1/tracks/0MKGH8UMfCnq5w7nG06oM5,0.539
87.000,225xvV8r1yKMHErSWivnow,I Don't Want to Miss a Thing,0.165,0.383,298760,0.662,0,2.000,0.248,-5.162,1.000,0.0333,121.154,,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,0.138
88.000,0Ww1dujmNHu8mcxLnhCAB3,Tom's Diner,0.0191,0.867,227453,0.531,0.0401,6.000,0.0429,-8.753,0.000,0.044,99.136,,https://api.spotify.com/v1/tracks/0Ww1dujmNHu8mcxLnhCAB3,0.722
89.000,0Xd1XT0mlPMTK5uslC6pzl,Man! I Feel Like A Woman!,0.642,0.675,233000,0.888,0,10.000,0.36,-3.018,1.000,0.0439,124.961,,https://api.spotify.com/v1/tracks/0Xd1XT0mlPMTK5uslC6pzl,0.74
90.000,3GpdNg7Krt9vjc6tgDoKe1,Breakfast At Tiffany's,0.113,0.624,257187,0.826,0,2.000,0.0938,-5.534,1.000,0.0287,110.372,,https://api.spotify.com/v1/tracks/3GpdNg7Krt9vjc6tgDoKe1,0.526
91.000,0gOyllwzM7IvfuYZ903zNv,Buddy Holly,0.00271,0.556,159227,0.92,0.00021,8.000,0.117,-4.606,1.000,0.0367,121.138,,https://api.spotify.com/v1/tracks/0gOyllwzM7IvfuYZ903zNv,0.771
92.000,1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",0.139,0.845,256027,0.576,0,11.000,0.0764,-5.15,0.000,0.153,127.641,,https://api.spotify.com/v1/tracks/1Oi2zpmL81Q0yScF1zxaC0,0.461
93.000,27QvYgBk0CHOVHthWnkuWt,Vogue,0.00379,0.737,316813,0.88,0.00351,6.000,0.417,-6.449,1.000,0.0433,115.998,,https://api.spotify.com/v1/tracks/27QvYgBk0CHOVHthWnkuWt,0.329
94.000,0ofMkI3jzmGCElAOgOLeo3,The Rhythm of the Night,0.000232,0.69,264280,0.805,0.739,5.000,0.095,-11.522,0.000,0.0336,127.808,,https://api.spotify.com/v1/tracks/0ofMkI3jzmGCElAOgOLeo3,0.799
95.000,3i6qNxyVgIdUZTTi5m25EM,Bitch,0.0112,0.617,252760,0.886,9.63E-05,9.000,0.0523,-5.953,1.000,0.055,96.328,,https://api.spotify.com/v1/tracks/3i6qNxyVgIdUZTTi5m25EM,0.629
96.000,4fXGWiVhlOLdhwRDP6pIFG,Lemon Tree,0.643,0.663,191027,0.475,0,1.000,0.122,-8.834,1.000,0.0417,143.175,,https://api.spotify.com/v1/tracks/4fXGWiVhlOLdhwRDP6pIFG,0.644
97.000,5npMYgysWSKOIVXj2szeLn,Vogue - Edit,0.0109,0.69,289560,0.817,0.00276,10.000,0.103,-10.137,0.000,0.0478,116.211,,https://api.spotify.com/v1/tracks/5npMYgysWSKOIVXj2szeLn,0.285
98.000,2lJOKQmXQ5yiRyCTE5FyDE,Tears In Heaven,0.842,0.705,276867,0.324,0.00386,9.000,0.201,-11.217,1.000,0.0246,79.051,,https://api.spotify.com/v1/tracks/2lJOKQmXQ5yiRyCTE5FyDE,0.494
99.000,4AOuWMwBYlZ96c07ye2w27,Sweetest Thing - The Single Mix,0.0941,0.534,183160,0.605,4.35E-05,0.000,0.198,-7.096,1.000,0.0352,142.24,,https://api.spotify.com/v1/tracks/4AOuWMwBYlZ96c07ye2w27,0.558
100.000,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & BeyoncÕ©),0.779,0.587,259550,0.299,0,8.000,0.123,-7.365,1.000,0.0263,94.992,,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI,0.356
101.000,7uuEfUMuPeQ7RlSWa0cES2,Can_Ñét Help Falling in Love,0.905,0.266,201933,0.0596,7.07E-05,0.000,0.132,-18.515,1.000,0.0363,181.74,,https://api.spotify.com/v1/tracks/7uuEfUMuPeQ7RlSWa0cES2,0.143
102.000,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.371,0.572,215733,0.385,0,7.000,0.231,-6.362,1.000,0.0308,95.799,,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,0.323
103.000,5uIYONgpUQ7t0v7D6CTMBt,Shrike,0.464,0.387,300707,0.278,0.00527,7.000,0.102,-8.454,0.000,0.0318,153.426,,https://api.spotify.com/v1/tracks/5uIYONgpUQ7t0v7D6CTMBt,0.0632
104.000,3qhobDAfBcVoOWZP8Ck8R2,Ophelia,0.613,0.664,160097,0.573,0.000363,5.000,0.0857,-6.519,1.000,0.0277,76.023,,https://api.spotify.com/v1/tracks/3qhobDAfBcVoOWZP8Ck8R2,0.566
105.000,5esPpmrM2AsyDVgOKzWQwU,Beyond,0.229,0.58,240600,0.687,0,6.000,0.109,-5.4,1.000,0.106,76.014,,https://api.spotify.com/v1/tracks/5esPpmrM2AsyDVgOKzWQwU,0.187
106.000,44jGrgXzD1p1jCLTHrveg8,Latch - Acoustic,0.977,0.389,221050,0.294,0.00393,8.000,0.107,-5.429,1.000,0.0277,88.636,,https://api.spotify.com/v1/tracks/44jGrgXzD1p1jCLTHrveg8,0.243
107.000,5Z1U0knfYnsfvZycgDeOiC,Big Jet Plane,0.239,0.763,239147,0.387,0.00747,10.000,0.13,-8.643,0.000,0.0278,109.957,,https://api.spotify.com/v1/tracks/5Z1U0knfYnsfvZycgDeOiC,0.273
108.000,6668ZaUUXqZ25Tb0DMr2HO,When You Love Someone - Acoustic,0.803,0.711,210107,0.299,0,7.000,0.116,-8.286,1.000,0.0394,125.068,,https://api.spotify.com/v1/tracks/6668ZaUUXqZ25Tb0DMr2HO,0.577
109.000,3PSMcb1gU5A8DveqU2K4z2,Slow Dancing in a Burning Room - Acoustic,0.835,0.611,232707,0.313,0.000315,4.000,0.111,-10.242,1.000,0.0339,134.858,,https://api.spotify.com/v1/tracks/3PSMcb1gU5A8DveqU2K4z2,0.378
